woolworths.*carlingf,Woolworths,60,
il pollo,Restaurant,60,
seafood delight.*chester,Grocery,60,
basshill fresh,Seafood,60,
operation espresso,Coffee,60,
c & z.*carlingford,Coffee,60,
Nikolaos Maropoulos,Meat,60,
super amart,Furniture,62,
plant market,Garden,62,
pots and plant,Garden,62,
turtle trans,Garden,62,
bunnings,Hardware,62,
poco blacktown,Homeware,62,
april and oak,Homeware,62,
ikea,Ikea,62,
dot5hosting,Website,62,
google,Website,62,
paypal,Online,62,
saman home,Homewares,62,
victorias base,Homewares,62,
howards storage,Homewares,62,
daiso 2008,Homewares,62,
th homebush,Department Store,63,
ck homebush,Department Store,63,
\bpuma\b,Department Store,63,
ralph lauren,Department Store,63,
\bbetts\b,Department Store,63,
goldmark,Gifts,63,
duty free,Gifts,63,
angus.*coote,Gifts,63,
tesoro,Gifts,63,
toyland,Gifts,63,
watch station,Gifts,63,
sweet palace,Gifts,63,
Diamond Co,Gifts,63,
prouds\b,Gifts,63,
eb games,Gifts,63,
gifts,Gifts,63,
sephora,Gifts,63,
bakerys king,Gifts,63,
kingly way aust,Coffee,64,
simplicity cafe,Coffee,64,
stix.*sydney,Coffee,64,
the patch,Coffee,64,
vessel sydney,Coffee,64,
blacktown watch,Department Store,64,
dymocks,Department Store,64,
smiggle,Department Store,64,
du liban,Lunch,64,
espresso on sussex,Lunch,64,
devrim food,Lunch,64,
ipoh,Lunch,64,
mega & comp,Lunch,64,
beer deluxe,Lunch,64,
lunch,Lunch,64,
subway king st,Lunch,64,
patisserie.*barangaroo,Lunch,64,
linkedin,Online,64,
david jones.*barangaroo,Coffee,64,
fbd group,Lunch,64,
joe and the juice,Lunch,64,
sussex hotel,Lunch,64,
bon bon espresso,Coffee,64,
loomas,Cake,65,
amf,Bowling,65,
mr.*cheap.*yagoona,Department Store,65,
dubai,Dubai,65,
cinema,Movies,65,
greateruni,Movies,65,
netflix,Netflix,65,
afghan.*merryland,Restaurant,65,
hardees,Restaurant,65,
kitchenette,Restaurant,65,
angels bayside,Restaurant,65,
fogo brazil,Restaurant,65,
billu indian,Restaurant,65,
burger hub,Restaurant,65,
lahori dhaba,Restaurant,65,
taj indian sweets,Restaurant,65,
the hot spot,Restaurant,65,
burgers,Restaurant,65,
gateharvest.*chatswood,Restaurant,65,Papa Rich
la galette,Restaurant,65,
malaya,Restaurant,65,
nandos,Restaurant,65,
nando's,Restaurant,65,
nsrk.*merryland,Restaurant,65,Rashays
paparich,Restaurant,65,
rashays,Restaurant,65,
chacha jee,Restaurant,65,
burger,Restaurant,65,
restaurant,Restaurant,65,
six fifty.*blacktown,Restaurant,65,
thai hutt,Restaurant,65,
ekush,Restaurant,65,
laissez-faire,Restaurant,65,
delaware.*moore park,Restaurant,65,
jasmine.*auburn,Restaurant,65,
oliver brown,Restaurant,65,
coca cola,Drinks,65,
looma\b,Cake,65,
dougies grill,Restaurant,65,
birrong leisure,Swimming,65,
ticketek,Ticketek,65,
pti function,Function,65,
australian national ma,Museum,65,
dougies gr,Restaurant,65,
manly fshmkt,Restaurant,65,
emporium.*bankstown,Restaurant,65,
dural putt,Activities,65,
glenorie bakery,Restaurant,65,
flip out,Activities,65,
experience oz.*surfers,Movies,65,
amcal,Chemist,66,
chemist,Chemist,66,
cincotta,Chemist,66,
cwh castle,Chemist,66,
in2health,Chemist,66,
pharm,Chemist,66,
pline ph,Chemist,66,
priceline,Chemist,66,
superchem,Chemist,66,
soul patt,Chemist,66,
terry white,Chemist,66,
chemmart,Chemist,66,
chester.jakes.*blacktown,Chemist,66,
\bpmcy\b,Chemist,66,
\bmcare\b,Medical,66,
medical,Medical,66,
optical,Medical,66,
pathology,Medical,66,
prp diag,Medical,66,
rda abrahm,Medical,66,
specsaver,Medical,66,
\bchem,Chemist,66,
j grove,Dentist,66,
denticare,Dentist,66,
cwh\b,Chemist,66,
\bphar\b,Chemist,66,
city conferencing,Charity,67,
noble mision,Charity,67,
mater foundation,Charity,67,
muslim aid,Charity,67,
ezidebit donation,Charity,67,
iftar,Iftar,67,
giveeasy,Charity,67,
ebay,Ebay,68,
gumtree,Gumtree,68,
rental,Rent,34,
virgin mob,Phone,21,
optus,Phone,21,
\batm\b,Cash,90,
card entry at.*branch,Cash,90,
cash withdrawal,Cash,90,
wdl branch,Cash,90,
wu sydney,Cash,90,
accountants,Accounting,95,
axis tax,Accounting,95,
asic ,ASIC,95,
\bato\b,ATO,95,
tax office payment,ATO,95,
workerscomp,Workers Comp,95,
adesam,Business,95,
workcover,Workers Comp,95,
mwave.*lidcombe,Business,95,
alibaba\.com,Stock,95,
jw comp,Electrical,95,
msy tech,Electrical,95,
jb hi fi,Electrical,62,
officeworks,Stationery,95,
wcov,Work Cover,95,
jawad,Jawad,96,
muneeb,Muneeb,96,
panthera,Muneeb,96,
phoopho,Phoopho,96,
sharifkhan,Sharif,96,
apple .*store,Apple,97,
baby bunt,Baby,97,
baby kingdom,Baby,97,
baby st,Baby,97,
bradstreet,Bills,97,
levis,Department Store,97,
industrie,Department Store,97,
giordano,Department Store,97,
zara,Department Store,97,
dotti,Department Store,97,
h&m,Department Store,97,
\byd\b,Department Store,97,
cotton on,Department Store,97,
fun dollar,Department Store,97,
gap birkenh,Department Store,97,
go vita,Department Store,97,
bonds outlet,Department Store,97,
insport,Department Store,97,
lacoste,Department Store,97,
lafayet,Department Store,97,
lovisa,Department Store,97,
mimco,Department Store,97,
myer,Department Store,97,
pumpkin pat,Department Store,97,
skeches,Department Store,97,
strandbags,Department Store,97,
wanted shoes,Department Store,97,
coursera,Education,97,
bing lee,Electrical,97,
good ?guys,Electrical,97,
refriger,Electrical,97,
jetstar,Flights,97,
virgin a,Flights,97,
POST ,Post,97,
abu dhabi,Travel,97,
consulate general,Travel,97,
hertz,Travel,97,
onair internet,Travel,97,
perisher,Travel,97,
tiger airwa,Travel,97,
australian computer,Work,97,
airport retail,Airport,97,
flight,Travel,97,
\bhair\b,Haircuts,97,
tony and guys,Haircuts,97,
registry of bdm,Government,97,
 redraw ,Transfer,98,
balance transfer,Transfer,98,
loan18,Transfer,98,
bpay payments,Transfer,98,
citibank creditcards,Transfer,98,
citibank readycredit,Transfer,98,
dishonour,Transfer,98,
initial balance,Transfer,98,
money we lent you,Transfer,98,
overseas tt,Transfer,98,
pay anyone,Transfer,98,
PAYMENT-BPAY-THANK YOU,Transfer,98,
Phone/Internet Tfr From.*0000130295564,Transfer,98,
tfr from,Transfer,98,
tfer transfer,Transfer,98,
transfer.*bank,Transfer,98,
transfer$,Transfer,98,
westpac cards,Transfer,98,
transfer to adeel,Transfer,98,
adeel khan.*transfer\b,Transfer,98,
TFR 55 day,Transfer,98,
cba\b.*\bpay\b,Income,99,
salary cxc,Income,99,
